nom,prix,website,source,date_scraped,category,promotion,url,description,normalized_nom,normalized_description
Bosch 300 Series - 30 inches - Externally Vented & Recirculating - Wall Range Hood,1199.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,bosch 300 series - 30 inches - externally vented & recirculating - wall range hood,bosch 300 series - 30 inches - externally vented & recirculating - wall range hood
GE Profile - 36 inches - Convertible - Wall Range Hood,1529.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge profile - 36 inches - convertible - wall range hood,ge profile - 36 inches - convertible - wall range hood
Windster Hoods - 30 inches - Convertible - Wall Range Hood,561.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,windster hoods - 30 inches - convertible - wall range hood,windster hoods - 30 inches - convertible - wall range hood
Bosch 500 Series - 36 inches - Externally Vented & Recirculating - Wall Range Hood,1649.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,bosch 500 series - 36 inches - externally vented & recirculating - wall range hood,bosch 500 series - 36 inches - externally vented & recirculating - wall range hood
GE Profile - 30 inches - Convertible - Wall Range Hood,1034.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge profile - 30 inches - convertible - wall range hood,ge profile - 30 inches - convertible - wall range hood
Whirlpool - 30 inches - Externally Vented - Wall Range Hood ,206.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,whirlpool - 30 inches - externally vented - wall range hood ,whirlpool - 30 inches - externally vented - wall range hood 
ZLINE DuraSnow - 35 inches - Convertible - Wall Range Hood - DuraSnow ,699.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,zline durasnow - 35 inches - convertible - wall range hood - durasnow ,zline durasnow - 35 inches - convertible - wall range hood - durasnow 
Zephyr - 36 inches - Convertible - Shell Range Hood - Satin,1999.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,zephyr - 36 inches - convertible - shell range hood - satin,zephyr - 36 inches - convertible - shell range hood - satin
KitchenAid - 36 inches - Convertible - Wall Range Hood,1781.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,kitchenaid - 36 inches - convertible - wall range hood,kitchenaid - 36 inches - convertible - wall range hood
Frigidaire - 30 inches - Externally Vented & Recirculating - Wall Range Hood/Glass,779.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,frigidaire - 30 inches - externally vented & recirculating - wall range hood/glass,frigidaire - 30 inches - externally vented & recirculating - wall range hood/glass
"Café - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, CustomFit Top Rack and 42 dBA",1079.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"café - 24"" top control built-in  tub dishwasher with 3rd rack, customfit top rack and 42 dba","café - 24"" top control built-in  tub dishwasher with 3rd rack, customfit top rack and 42 dba"
"Whirlpool - 24"" Top Control Built-In  Tub Dishwasher with Boost Cycle and 55 dBA",449.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"whirlpool - 24"" top control built-in  tub dishwasher with boost cycle and 55 dba","whirlpool - 24"" top control built-in  tub dishwasher with boost cycle and 55 dba"
